date,time,appliedcurrent,voltage,Cl,TOC,A,B,C,D,activatedcarbon,tensilestrength,elongation,glossiness,Mside,Sside,Curl
05월 24일,15,1.49,,,,179,545,636,187,2.73,34.2,12.7,247,1.11,0.22,0
05월 24일,19,1.49,,,,179,545,636,187,2.73,34.5,12.2,226,1.11,0.22,1
05월 24일,23,1.49,,20.6,92.6,179,545,636,187,2.73,34.7,10.8,229,0.98,0.24,0
05월 25일,3,1.49,,,,179,545,636,187,2.7,34.7,10.5,215,1.04,0.23,1
05월 25일,7,1.49,,,,179,545,636,187,2.7,34,7.7,214,1.09,0.22,0
05월 25일,11,1.49,,17.7,88.6,179,545,636,187,2.7,33.8,6.8,213,1.17,0.24,0
05월 25일,15,1.49,,,,179,545,636,187,2.7,34.1,8.4,246,1.12,0.22,1
05월 25일,19,1.49,,,,179,545,636,187,2.7,33.9,7.2,220,1.24,0.2,0
05월 25일,23,1.49,,,,179,545,636,187,2.7,34.5,7.3,208,1.28,0.24,0
05월 26일,3,1.49,,,,179,545,636,187,2.7,34.5,8.3,200,1.24,0.2,1
05월 26일,7,1.49,,,94.6,179,545,636,187,2.7,34.6,8.1,213,1.49,0.22,1
05월 26일,11,1.49,,,,179,545,636,187,2.7,34.6,8.8,224,1.27,0.21,1
05월 26일,15,1.49,,,98.8,179,545,636,187,3,34.5,11.5,238,1.27,0.22,1
05월 26일,19,1.49,,,,179,545,636,187,3,34.9,11.4,230,1.29,0.23,1
05월 26일,23,1.49,,,103.8,179,545,636,187,3,35,10.3,228,1.23,0.24,1
05월 27일,3,1.49,,,,179,545,636,187,3,35.2,10.8,227,1.29,0.21,2
05월 27일,7,1.49,,,,179,545,636,187,3,34.6,9.5,227,1.31,0.21,1
05월 27일,11,1.49,,,107.8,179,545,636,187,3.3,34.5,10.5,223,1.23,0.2,1
05월 27일,15,1.49,,,,179,545,636,187,3.3,34.4,9.6,215,1.31,0.2,0
05월 27일,19,1.49,,,,161,490,572,168,3.3,34.7,9.4,221,1.37,0.2,1
05월 27일,23,1.49,,,115.1,161,490,572,168,3.3,34.1,8.3,294,1.38,0.22,1
05월 28일,3,1.49,,,,161,490,572,168,3.3,34.2,7.8,203,1.32,0.22,1
05월 28일,7,1.49,,,,161,490,572,168,3.3,33.8,9.2,217,1.56,0.21,3
05월 28일,11,1.49,,,,161,490,572,168,3.3,34.3,8.4,197,1.53,0.2,2
05월 28일,15,1.49,,,,161,490,572,168,3.3,33.9,9.3,241,1.22,0.22,0
05월 28일,19,1.49,,,,161,490,572,168,3.3,33.9,8.9,223,1.47,0.22,0
05월 28일,23,1.49,,,100.4,161,490,572,168,3.3,33,6.4,244,,,0
05월 29일,3,1.49,,,,143,436,509,149,3.3,35.1,8.5,234,,,
05월 29일,7,1.49,,,,143,436,509,149,3.3,34.9,9.9,220,,,
05월 29일,11,1.49,,,,143,436,509,149,3.3,34.9,9.6,219,,,
05월 29일,15,1.49,,,,143,436,509,149,3.3,35.4,10.3,220,,,
05월 29일,19,1.49,,,,143,436,509,149,3.3,35.5,9.6,207,1.31,0.23,0
05월 29일,23,1.49,,,92,143,436,509,149,3.3,34.2,8.5,224,1.2,0.21,0
05월 30일,3,1.49,,,,143,436,509,149,3.3,35.8,8.8,203,1.22,0.22,0
05월 30일,7,1.49,,,,143,436,509,149,3.3,35.4,10.9,172,1.15,0.22,0
05월 30일,19,,,,,179,545,636,187,2.4,,,,,,
05월 30일,23,1.3,4.11,14.8,86,286,872,"1,017",299,2.4,,,,,,
05월 31일,3,1.3,4.21,,,286,872,"1,017",299,2.4,,,,,,
05월 31일,7,1.3,4.1,,,286,872,"1,017",299,2.4,,,,,,
05월 31일,11,1.3,4.1,15.4,89,179,545,636,187,2.4,36.2,12.2,46,2.53,0.25,6
05월 31일,15,1.3,4.1,,,179,545,636,187,2.4,36.4,11.3,48,2.12,0.26,1
05월 31일,19,1.3,4.23,20.8,94,179,545,636,187,2.4,35.4,15.5,118,1.99,0.28,1
05월 31일,23,1.3,4.18,,,179,545,636,187,2.4,35.5,14.7,89,1.57,0.27,0
06월 01일,3,1.3,4.21,,,179,545,636,187,2.4,35.9,12,91,1.61,0.27,1
06월 01일,7,1.3,4.16,22,96,179,545,636,187,2.4,35.6,13.5,51,2.5,0.28,5
