nLotID,strLotName,nOperationNumber,nUsersGroupID,strOperatorName,strUsersGroupName,nModelID,strModelName,strStartTime,strEndTime,nReferenceSheetID,nStartSheetID,nEndSheetID,nTotalSheetCount,nNormalFlushSheetCount,nForceFlushSheetCount,nResult_A_Count,nResult_B_Count,nGrade_B_Swell_Count,nGrade_B_Soot_Count,nGrade_B_Hole_Count,nGrade_Etc_Count,nGrade_Error_Count,nGrade_B_Discolor_Count
1486,20221011_102,2,2,AAAAA,102,7,Inspection_220905,2022-10-11 16:10,2022-10-11 21:53,308,309,628,320,317,3,303,17,2,11,0,2,5,0
1487,20221011_103,1,3,AAAAA,103,7,Inspection_220905,2022-10-11 21:53,2022-10-12 6:20,0,1,682,682,654,28,595,87,11,42,7,4,32,0
1488,20221012_101,1,1,AAAAA,101,7,Inspection_220905,2022-10-12 6:20,2022-10-12 13:31,0,1,674,674,657,17,559,115,20,69,14,3,23,0
1489,20221012_102,1,2,AAAAA,102,7,Inspection_220905,2022-10-12 13:31,2022-10-12 21:30,0,1,840,839,830,9,782,57,21,5,20,4,11,0
1490,20221012_103,1,3,AAAAA,103,7,Inspection_220905,2022-10-12 21:30,2022-10-13 6:28,0,1,554,554,543,11,497,57,22,12,14,4,14,0
1491,20221013_101,1,1,AAAAA,101,7,Inspection_220905,2022-10-13 6:28,2022-10-13 13:30,0,1,680,679,664,15,614,65,24,1,24,6,17,0
1492,20221013_102,1,2,AAAAA,102,7,Inspection_220905,2022-10-13 13:30,2022-10-13 21:30,0,1,844,844,826,18,796,48,22,1,8,0,20,0
1493,20221013_103,1,3,AAAAA,103,7,Inspection_220905,2022-10-13 21:30,2022-10-14 6:12,0,1,562,562,547,15,485,77,17,1,12,36,15,0
1494,20221014_101,1,1,AAAAA,101,7,Inspection_220905,2022-10-14 6:12,2022-10-14 13:41,0,1,709,709,688,21,585,124,49,10,16,33,22,0
1495,20221014_102,1,2,AAAAA,102,7,Inspection_220905,2022-10-14 13:41,2022-10-14 21:40,0,1,740,740,731,9,514,226,47,37,43,101,10,0
1496,20221014_103,1,3,AAAAA,103,7,Inspection_220905,2022-10-14 21:40,2022-10-15 6:16,0,1,628,628,618,10,536,92,28,18,39,4,12,0
1497,20221015_101,1,1,AAAAA,101,7,Inspection_220905,2022-10-15 6:17,2022-10-15 13:30,0,1,624,624,608,16,492,132,15,92,12,3,18,0
1498,20221015_102,1,2,AAAAA,102,7,Inspection_220905,2022-10-15 13:30,2022-10-15 21:45,0,1,1012,1011,988,23,881,130,38,27,29,21,26,0
1499,20221015_103,1,3,AAAAA,103,7,Inspection_220905,2022-10-15 21:45,2022-10-16 6:22,0,1,388,388,377,11,348,40,10,2,14,6,12,0
1500,20221016_101,1,1,AAAAA,101,7,Inspection_220905,2022-10-16 6:22,2022-10-16 13:46,0,1,636,636,627,9,583,53,20,14,12,1,10,0
1501,20221016_102,1,2,AAAAA,102,7,Inspection_220905,2022-10-16 13:46,2022-10-16 21:38,0,1,760,759,744,15,660,99,32,0,39,14,18,0
1502,20221016_103,1,3,AAAAA,103,7,Inspection_220905,2022-10-16 21:38,2022-10-17 6:08,0,1,612,612,603,9,557,55,16,10,19,2,10,0
1503,20221017_101,1,1,AAAAA,101,7,Inspection_220905,2022-10-17 6:08,2022-10-17 13:30,0,1,736,736,729,7,664,72,25,34,5,2,7,0
1504,20221017_102,1,2,AAAAA,102,7,Inspection_220905,2022-10-17 13:30,2022-10-17 17:05,0,1,408,408,402,6,354,54,23,14,9,6,6,0
1505,20221017_102,2,2,AAAAA,102,7,Inspection_220905,2022-10-17 17:16,2022-10-17 21:35,408,409,610,202,201,1,170,32,8,20,3,2,1,0
1506,20221017_103,1,3,AAAAA,103,7,Inspection_220905,2022-10-17 21:35,2022-10-18 7:01,0,1,672,672,666,6,543,129,50,33,49,3,7,0
1507,20221018_101,1,1,AAAAA,101,7,Inspection_220905,2022-10-18 7:01,2022-10-18 9:00,0,1,228,228,225,3,211,17,7,2,6,0,3,0
